uuid,名称,domain
6e133b7f-d47d-5a7f-86d4-25349ec08765,初期心悸,EMOTIONAL
b96c2289-7acc-5fb2-8e55-9c67da702cd6,慢性心悸,EMOTIONAL
3d61a56d-e78b-5ff1-b251-929857850490,急性心悸,EMOTIONAL
7237c025-4724-5af3-a50d-62cfd41983eb,反复心悸,EMOTIONAL
966dd4b0-a1cb-55a1-83f4-b123e5f11f94,夜间心悸,EMOTIONAL
a2c628ca-9e03-5e48-9c4d-9390bdd44941,晨间心悸,EMOTIONAL
23b346d2-875f-5385-b733-cc9539450ae8,应激性心悸,EMOTIONAL
6adf9ff8-18f1-5c6a-bd0b-1f2ffc719db0,初期呼吸急促,EMOTIONAL
30f7119d-a02a-5ae7-b9ca-a4847207d5b8,慢性呼吸急促,EMOTIONAL
d0b4d133-1d7e-59d0-aba6-4a487560578c,急性呼吸急促,EMOTIONAL
d6acde1d-e4fc-58dd-aa06-ca38d5e49ea4,反复呼吸急促,EMOTIONAL
5901ab67-0dee-53c3-98c6-bef298620ffe,夜间呼吸急促,ACADEMIC
d94dac2d-956b-56c8-a778-d67f702f42e2,晨间呼吸急促,ACADEMIC
5e0ced7f-ecf3-54cc-977a-b9cd58038887,应激性呼吸急促,ACADEMIC
b87b4823-1554-5d89-9467-aab2eb19c81f,初期肌肉酸痛,INTERPERSONAL
37bf228d-92a9-5262-82cc-abee548ff832,慢性肌肉酸痛,INTERPERSONAL
406dfe02-0d51-570d-a490-963515117350,急性肌肉酸痛,INTERPERSONAL
8871b9be-398f-522f-bcfb-e1e3b93df215,反复肌肉酸痛,ACADEMIC
ef060689-499d-59d1-84b7-5612ec626151,夜间肌肉酸痛,EMOTIONAL
9ce2558d-c396-553c-83f2-8dec2ee16c8f,晨间肌肉酸痛,EMOTIONAL
e8b34429-5f86-570f-b6d1-ecbc0c7190a0,应激性肌肉酸痛,ACADEMIC
44b93e6c-d946-56b6-b22e-276e7a15cbce,初期偏头痛,EMOTIONAL
dff81aed-9c05-5ae7-a9e7-70e82c2343ba,慢性偏头痛,ACADEMIC
35d59df0-f1a6-5740-85c0-98291898102f,急性偏头痛,ACADEMIC
204badbc-1411-5c72-a4eb-c5730e8363d6,反复偏头痛,ACADEMIC
cee5662a-e0ed-5c51-bb4b-e295969362fa,夜间偏头痛,ACADEMIC
262170d1-7188-59db-a848-817aa13815f3,晨间偏头痛,EMOTIONAL
f739c197-a8c3-5370-8797-85888ce804f6,应激性偏头痛,INTERPERSONAL
15212d44-44bd-5986-9f0d-aea9ffbc0daa,初期食欲减退,ACADEMIC
04f16919-e6c3-5a13-9503-03791fde5341,慢性食欲减退,INTERPERSONAL
174126a0-7e1f-5a54-ab83-929ef5ecffd1,急性食欲减退,ACADEMIC
ffe1c14d-0619-5b26-8edb-bdc6d803a200,反复食欲减退,EMOTIONAL
a10609a5-ef9f-504e-884a-c19f10f15bbe,夜间食欲减退,INTERPERSONAL
46cde4a3-45f2-5cce-b8b0-f20248700bd6,晨间食欲减退,EMOTIONAL
13190eb6-dab1-5777-ade2-86048f69e109,应激性食欲减退,INTERPERSONAL
419de34e-487f-5ace-a434-76c3948a2b67,初期暴饮暴食,INTERPERSONAL
