uuid,名称,内容,部门,domain
06d539e8-6370-5060-9910-6615d699e216,重修管理办法,学生单科成绩不合格可申请重修，重修需在下学期开学两周内提交申请。,教务处,ACADEMIC
943b5e7a-f18e-53c3-adfb-8ad16bcec7cc,退学预警管理办法,累计不合格学分达 20 学分触发黄色预警，达 30 学分触发红色预警并约谈家长。,学生处,ACADEMIC
72488aac-9488-5089-95ce-faac007b9c4c,教务处复学考试规定,休学期满申请复学的学生需参加复学考试，考试科目为休学前最近一学期的核心课程。,教务处,ACADEMIC
47f331e8-2120-525d-a821-e13148be6327,学分互认细则,交换生和辅修学生的学分互认需提交成绩单原件及课程大纲对比表。,教务处,ACADEMIC
7f3c2d57-da16-5cd3-a29d-00f3722aa2e0,宿舍调换流程,因人际矛盾申请调换宿舍需经辅导员批准并提交书面申请。,学生公寓管理中心,INTERPERSONAL
9df6f3e5-781f-59b0-b45a-ac6258290e60,校园网舆情投诉路径,遭受网络暴力可向校网络信息中心投诉并申请删帖，同时可向公安机关报案。,网络信息中心,INTERPERSONAL
c39016a7-a9b7-5c01-889c-58cd4b88adff,学生纠纷仲裁规定,学生之间发生严重纠纷可申请学院调解委员会仲裁，仲裁结果具有约束力。,学生处,INTERPERSONAL
3bb002ae-ff4a-5b0e-b3dc-db71a70cd117,心理普查结果复核,新生入学心理普查结果异常者将安排复核访谈，确认后纳入重点关注名单。,心理健康教育中心,EMOTIONAL
f997da40-e712-5402-ac1c-d63412c83cb3,校内心理咨询预约指南,学生可通过校园 App 或电话预约一对一心理咨询，每学期享有 6 次免费咨询。,心理健康教育中心,EMOTIONAL
7c90559d-3cc3-5f3e-ac92-bcb94820624f,心理干预绿色通道,发现学生有自杀或自伤倾向时，辅导员应立即启动绿色通道并通知心理中心值班老师。,心理健康教育中心,CRISIS
42d66d59-152d-55ec-9d0a-8065434ab0f5,二级学院心理预判责任制,各二级学院须配备至少 1 名专职心理委员，负责日常心理动态摸排和预警上报。,学生处,CRISIS
e5da52f9-b4e2-549c-b32a-1943d53bee21,毕业论文延期审批,因心理或健康原因无法按期完成毕业论文的学生可申请延期答辩。,研究生院,CAREER
d001ef3f-be47-5588-b960-ccef89e1e4e6,弹性学制申请,学生因特殊原因需延长学习年限可申请弹性学制，最长不超过 2 年。,教务处,CAREER
b2a375a5-b9fc-5797-ac39-f924cf0cbd5b,心理转学通道,因严重心理疾病无法在当前学校就读的学生可申请心理转学通道。,学生处,CAREER
