uuid,名称,方法,说明,domain
16692328-b93c-5974-8fc8-67a0e5d72dab,宿舍环境下的三栏日记,认知重构,针对宿舍优化的拆解负面想法,EMOTIONAL
686268a9-f8ab-57a3-99b9-a9d04c6c22a1,图书馆环境下的三栏日记,认知重构,针对图书馆优化的拆解负面想法,EMOTIONAL
65851f86-492f-5ee8-b2a8-bc9d329cebcf,招聘场环境下的三栏日记,认知重构,针对招聘场优化的拆解负面想法,EMOTIONAL
0a6b348f-4fd4-5e8b-98f5-c94c0f48dcb6,实验室环境下的三栏日记,认知重构,针对实验室优化的拆解负面想法,EMOTIONAL
e6cbfc3c-2297-5c10-a41a-9d9eb660e9d0,深夜环境下的三栏日记,认知重构,针对深夜优化的拆解负面想法,EMOTIONAL
6f261177-83fd-5917-a2ff-6a3cdb523177,面试前环境下的三栏日记,认知重构,针对面试前优化的拆解负面想法,EMOTIONAL
b7b2fb61-0049-591c-8e7e-859bba7fa52f,自习室环境下的三栏日记,认知重构,针对自习室优化的拆解负面想法,EMOTIONAL
a0dfaff9-647e-5456-afbe-4262d4670ba9,宿舍环境下的蝴蝶抱,稳定化技术,针对宿舍优化的安抚杏仁核,CRISIS
40e6a364-6c41-5c37-b042-a4a0e9089dd2,图书馆环境下的蝴蝶抱,稳定化技术,针对图书馆优化的安抚杏仁核,CRISIS
5ffb28e0-5980-5822-a859-e736065e4ec5,招聘场环境下的蝴蝶抱,稳定化技术,针对招聘场优化的安抚杏仁核,CRISIS
10f10cad-7d56-5b27-b86f-e352feab5650,实验室环境下的蝴蝶抱,稳定化技术,针对实验室优化的安抚杏仁核,CRISIS
19cf330b-1855-535e-8b14-ee5b43f48598,深夜环境下的蝴蝶抱,稳定化技术,针对深夜优化的安抚杏仁核,CRISIS
669f48b4-ad87-504e-857d-f9f1bbea5f9c,面试前环境下的蝴蝶抱,稳定化技术,针对面试前优化的安抚杏仁核,CRISIS
d30e1da3-5f1c-575b-8868-df7fcacbe6e1,自习室环境下的蝴蝶抱,稳定化技术,针对自习室优化的安抚杏仁核,CRISIS
90c2ccb6-3f58-5061-b6e2-564eaf4ed9e7,宿舍环境下的费曼法,效率工具,针对宿舍优化的克服对知识的恐惧,ACADEMIC
d24f9de6-954d-51ad-a685-6d15e0008b10,图书馆环境下的费曼法,效率工具,针对图书馆优化的克服对知识的恐惧,ACADEMIC
dbe87ff8-ac28-5311-a62e-242695e09280,招聘场环境下的费曼法,效率工具,针对招聘场优化的克服对知识的恐惧,ACADEMIC
1130b809-a103-5112-85fc-0aa9a2cefb9c,实验室环境下的费曼法,效率工具,针对实验室优化的克服对知识的恐惧,ACADEMIC
